company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Texa International Services Private Limited,Digital Marketing Specialist,Thiruvananthapuram,180000.0,"Social media marketing, Social media management, Graphic design, Analysis skills, Digital marketing",,Digital Marketing Specialist
ESR Solutions,Digital Marketing Specialist,Mohali,378000.0,"Email marketing, Social media marketing, Digital marketing, Organizational skills, Google Ads",,Digital Marketing Specialist
ANZ Landscaping,Digital Marketing,Bengaluru,378000.0,"Email marketing, Content creation, Digital marketing, Google Ads, Google Analytics",,Digital Marketing Specialist
MacDermid Alpha Electronic Solutions,Regional Marketing Communications Specialist,Chennai,550000.0,"Content development, Marketing",3.4,Digital Marketing Specialist
Smart Software Solutions,Digital Marketing Specialist,Perintalmanna,120000.0,"Adobe Photoshop, Social media marketing, Facebook Advertising, Social media management, Digital marketing",,Digital Marketing Specialist
TheFuenix,Digital Marketing Specialist,Mohali,300000.0,"Google AdWords, Social media marketing, Digital marketing, SEO",,Digital Marketing Specialist
Knowtifics Technologies Pvt Ltd,Digital Marketing Specialist,Coimbatore,0.0,"Email marketing, Web analytics, Social media marketing, Lead generation, Digital marketing",,Digital Marketing Specialist
Valueleaf Services,Digital marketing- Google Ads,India,200000.0,"Keyword research, English, Digital marketing, APIs, Google Ads",,Digital Marketing Specialist
Lbits Technologies Pvt Ltd,Digital Marketing Specialist,Hyderābād,210000.0,"Social media marketing, Facebook Advertising, WordPress, Content management systems, Graphic design",,Digital Marketing Specialist
Infovenz Software Solutions,Digital Marketing Specialist,Madurai,4800000.0,"Microsoft Word, Email marketing, Adobe Photoshop, Microsoft Excel, Google AdWords",3.7,Digital Marketing Specialist
Avantio Technologies Pvt Ltd,Digital Marketing Specialist,India,450000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
Design Script LLP,Digital Marketing Specialist,Delhi,390000.0,"Facebook Advertising, Keyword research, Analysis skills, Project management, Digital marketing",,Digital Marketing Specialist
TruMinds Technology Inc,Digital Marketing Specialist,India,270000.0,"Email marketing, Google AdWords, Facebook Advertising, Content creation, Digital marketing",3.3,Digital Marketing Specialist
Shreejan Associates,Digital Marketing Specialist,Chennai,600000.0,"Email marketing, CSS, Facebook Advertising, Keyword research, English",3.0,Digital Marketing Specialist
RN REDDYIT SCHOOL,Digital Marketing Specialist,India,360000.0,"Buffer, CSS, WordPress, Content management systems, Analysis skills",,Digital Marketing Specialist
NEOCASA INFRATECH PRIVATE LIMITED,Digital Marketing Specialist,Noida,564000.0,"Social media marketing, Facebook Advertising, Social media management, Lead generation, Digital marketing",,Digital Marketing Specialist
Mivb Information Technology,Digital Marketing Specialist,Hubli,192000.0,"English, Communication skills",2.7,Digital Marketing Specialist
Netstratum,Digital Marketing Specialist,Cochin,4200000.0,"E-Commerce, Analysis skills, Digital marketing, Communication skills",4.3,Digital Marketing Specialist
ContactPoint360,Content Marketing Specialist,India,0.0,"React, English, Research, Content marketing, Marketing automation",4.0,Digital Marketing Specialist
PCB Must Innovations,Digital Marketing Specialist,Meerut,450000.0,"Keyword research, SEM",,Digital Marketing Specialist
Viral Mafia Digital Marketing Agency,Senior Digital Marketing Specialist,Calicut,420000.0,"Facebook Advertising, Analysis skills, Digital marketing",,Digital Marketing Specialist
Mussoorie International School,Digital Marketing Specialist,Gurgaon,300000.0,"Google AdWords, Web analytics, Digital marketing, B2B, Direct sales",,Digital Marketing Specialist
MAKE MY ADDRESS,Digital Marketing Specialist,Pune,312000.0,"Analysis skills, Digital marketing, Marketing",,Digital Marketing Specialist
SPANHAUS Design and construction pvt ltd,Digital Marketing Specialist,India,306000.0,"Keyword research, Digital marketing, Organizational skills, Google Ads, Google Analytics",,Digital Marketing Specialist
Unicrop Biochem,Digital Marketing Specialist,India,342000.0,"Social media marketing, Social media management, English, Graphic design, Digital marketing",,Digital Marketing Specialist
BPS Nextgen Solutions Private Limited,Digital Marketing Specialist,India,240000.0,"Social media marketing, Keyword research, Adobe Creative Suite, Graphic design, Content creation",,Digital Marketing Specialist
Enhance digital solutions,Digital Marketing Specialist,Kondotti,144000.0,"Social media marketing, Facebook Advertising, Social media management, Digital marketing, SEO",,Digital Marketing Specialist
SYNERGOS CONSULTING SERVICES,Market Research & Digital Marketing Specialist,Bengaluru,500000.0,"Salesforce, Digital marketing, SEO tools, Communication skills, SEM",4.2,Digital Marketing Specialist
VMR Groups,Digital Marketing Specialist,Tirupati,180000.0,"Web design, Web development, Social media management, English, Content creation",,Digital Marketing Specialist
Adhiran Group,Digital Marketing Specialist,India,258000.0,"Web design, Email marketing, Adobe Photoshop, Web analytics, Telugu",,Digital Marketing Specialist
Livexpert Technologies,Digital Marketing Specialist,India,306000.0,"CRM software, Social media marketing, Facebook Advertising, Keyword research, Lead generation",,Digital Marketing Specialist
Qikberry Technology Pvt Ltd,Digital Marketing Specialist,India,200000.0,"Email marketing, Facebook Advertising, Graphic design, Digital marketing, SEO",,Digital Marketing Specialist
KunTesoro Solutions Private Limited,Digital Marketing Specialist,India,270000.0,"Adobe Photoshop, Social media marketing, Facebook Advertising, Social media management, Digital marketing",,Digital Marketing Specialist
Instabyte solutions,Digital Marketing Specialist,India,330000.0,"Social media management, Keyword research, Analysis skills, Digital marketing, Google Ads",,Digital Marketing Specialist
Kavya Management Services,Urgent Opening For Digital Marketing Specialist,Delhi,550000.0,"Email marketing, Digital marketing, SEO, Google Ads, Communication skills",3.8,Digital Marketing Specialist
Avant Garde Omnimedia,Digital Marketing Specialist,Calcutta,400000.0,,2.7,Digital Marketing Specialist
Cresol Infoserv Pvt Ltd,Digital Marketing Specialist,India,90000.0,"Social media marketing, Keyword research, Analysis skills, Digital marketing, SEO",,Digital Marketing Specialist
Sun Chem (India),influencer marketing specialist,India,480000.0,"Adobe Photoshop, Branding, Facebook Advertising, Digital marketing, SEM",,Digital Marketing Specialist
NdimensionZ,Digital Marketing Specialist test,Cochin,1200000.0,"Search engines, Digital marketing, SEO, Google Search Console, SEO tools",3.8,Digital Marketing Specialist
Eleva8e Digital,B2B Digital Marketing Specialist,Delhi,570000.0,"Jira, Email marketing, Lead generation, Business development, Analysis skills",,Digital Marketing Specialist
SKY BLUE LOGISTICS INDIA LTD,Digital Marketing Specialist,Gurgaon,408000.0,"Email marketing, Google AdWords, Social media marketing, Analysis skills, Content creation",,Digital Marketing Specialist
Scalex IT Solutions,Digital Marketing Specialist,India,180000.0,"Search engines, Omniture, Digital marketing, Conversion optimization, SEO tools",,Digital Marketing Specialist
Fitdeals,Digital Marketing Specialist,Chandigarh,540000.0,"Google AdWords, Facebook Advertising, Digital marketing, SEO, Google Ads",,Digital Marketing Specialist
Birth Marque | Branding Company,Digital Marketing Specialist,India,252000.0,"Google AdWords, Social media marketing, Facebook Advertising, Keyword research, Digital marketing",,Digital Marketing Specialist
TALENT VIRGES,Digital Marketing Specialist,Bengaluru,186000.0,"Adobe Photoshop, Facebook Advertising, Digital marketing, SEM, Analytics",,Digital Marketing Specialist
Tanla Platforms,Digital Marketing Specialist,Mumbai,4200000.0,"Web analytics, Social media management, B2B, Google Analytics, Adobe Analytics",3.7,Digital Marketing Specialist
Japnaaz software Pvt. Ltd,Digital Marketing Specialist,Mohali,186000.0,"Digital marketing, Google Ads",,Digital Marketing Specialist
SRS Infotech,Sr. Digital Marketing Specialist,Delhi,0.0,"Media buying, Project management, A/B testing, Communication skills, Marketing",,Digital Marketing Specialist
AM2Techs,Digital Marketing Specialist,Chennai,48000.0,"Social media marketing, Social media management, Content creation, Digital marketing, SEO",,Digital Marketing Specialist
Vayu Drone Services Pvt. Ltd.,Digital Marketing Specialist,India,390000.0,"CSS, Social media marketing, Social media management, Omniture, Analysis skills",,Digital Marketing Specialist
Orane International,Instagram Marketing Specialist,Mohali,1800000.0,"Graphic design, Content creation, Digital marketing, Communication skills",3.9,Digital Marketing Specialist
GoldenPi Technologies,Email Marketing Specialist,Bengaluru,600000.0,"Email marketing, Web analytics, Digital marketing, Marketing automation, A/B testing",3.8,Digital Marketing Specialist
Assettrustservices,Digital Marketing Specialist - Real Estate Sector,India,540000.0,"WordPress, Digital marketing, Google Ads, Communication skills, Marketing",,Digital Marketing Specialist
Germane Media LLC,Performance Marketing Specialist,Bengaluru,408000.0,"Data analysis skills, Analysis skills, Acquisition strategy, SEO, Fraud prevention and detection",,Digital Marketing Specialist
Hotserve Legal Professionals,Digital Marketing Specialist,India,180000.0,"Social media marketing, Keyword research, Adobe Creative Suite, Graphic design, Content creation",,Digital Marketing Specialist
SPEED GROUP,Digital Marketing Specialist,Calcutta,312000.0,"Social media marketing, English, Digital marketing, SEO, Communication skills",,Digital Marketing Specialist
Latlon Technologies,Digital Marketing Specialist,Coimbatore,450000.0,"CRM software, Google Tag Manager, Analysis skills, Digital marketing, SEO",4.1,Digital Marketing Specialist
Signal Expert Global,Digital Marketing Specialist,Indore,330000.0,"Adobe Photoshop, Facebook Advertising, Social media management, Adobe Illustrator, Graphic design",,Digital Marketing Specialist
AppNexus Technology Pvt Ltd,Digital Marketing Specialist,Noida,2664000.0,"Email marketing, Business analysis, Lead generation, English, Digital marketing",4.8,Digital Marketing Specialist
Ultimez,Digital Marketing Specialist,Hubli,0.0,"Keyword research, Research, Project management, Digital marketing, Team management",4.0,Digital Marketing Specialist
Frigus Technology Private Limited,Digital Marketing Specialist,Bengaluru,600000.0,"Email marketing, Facebook Advertising, Customer service, Graphic design, Analysis skills",,Digital Marketing Specialist
Crazybox Studio Pvt. Ltd.,Digital Marketing Specialist,India,192000.0,"Facebook Advertising, Social media management, Keyword research, Analysis skills, Digital marketing",,Digital Marketing Specialist
AB Star News Channel,Digital Marketing Specialist,Noida,720000.0,"Email marketing, Facebook Advertising, Analysis skills, Project management, Digital marketing",,Digital Marketing Specialist
Svaapta IT-Ally Solutions Pvt.Ltd.,Digital Marketing Specialist,India,210000.0,"Omniture, Analysis skills, Digital marketing, SEO, Google Analytics",,Digital Marketing Specialist
PharmaDEM Solutions,Digital Marketing & Content Creation Specialist,Remote,0.0,"Adobe Photoshop, Buffer, Social media management, Keyword research, Adobe Illustrator",,Digital Marketing Specialist
Derrick Jones Management Pvt Ltd,Digital Marketing Specialist,Cochin,300000.0,"Adobe Photoshop, Social media marketing, Social media management, Malayalam, English",,Digital Marketing Specialist
Digicognit,Digital Marketing Specialist,Villupuram,180000.0,"Social media marketing, Facebook Advertising, Social media management, Keyword research, Digital marketing",,Digital Marketing Specialist
Kolka Digital,Digital Marketing Specialist,India,350000.0,"CSS, Facebook Advertising, WordPress, Google Ad Manager, Software deployment",,Digital Marketing Specialist
Cummins Inc.,Marketing Specialist - Senior,Gurgaon,4800000.0,"Sales, Project management, Mentoring, Marketing",4.0,Digital Marketing Specialist
Rankmantra,Digital Marketing Specialist,India,300000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
